Complexity metrics,Sun, 31 Mar 2019 21:38:24 EDT
Method,ev(G),iv(G),v(G)
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.canRelocateClass(String)",1,3,3
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.canRelocatePath(String)",3,5,6
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.isExcluded(String)",4,4,5
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.isIncluded(String)",4,4,5
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.normalizePatterns(Collection<String>)",1,5,5
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.relocateClass(String)",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocator.relocatePath(String)",2,2,2
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorParameterTest.constructThenFailOnNullPointerException(String,String)",1,2,2
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorParameterTest.setUp()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorParameterTest.testThatNullPatternInConstructorShouldNotThrowNullPointerException()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorParameterTest.testThatNullShadedPatternInConstructorShouldNotThrowNullPointerException()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorTest.testCanRelocateAbsClassPath()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorTest.testCanRelocateClass()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorTest.testCanRelocatePath()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorTest.testCanRelocateRawString()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorTest.testRelocateClass()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorTest.testRelocateMavenFiles()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorTest.testRelocatePath()",1,1,1
"org.apache.maven.plugins.shade.relocation.SimpleRelocatorTest.testRelocateRawString()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheLicenseResourceTransformer.canTransformResource(String)",1,2,2
"org.apache.maven.plugins.shade.resource.ApacheLicenseResourceTransformer.hasTransformedResource()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheLicenseResourceTransformer.modifyOutputStream(JarOutputStream)",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheLicenseResourceTransformer.processResource(String,InputStream,List<Relocator>)",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheLicenseResourceTransformerTest.setUp()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheLicenseResourceTransformerTest.testCanTransformResource()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformer.canTransformResource(String)",1,2,2
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformer.hasTransformedResource()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformer.modifyOutputStream(JarOutputStream)",3,7,10
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformer.processResource(String,InputStream,List<Relocator>)",1,16,19
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerParameterTests.processAndFailOnNullPointer(String)",1,2,2
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerParameterTests.setUp()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerParameterTests.testNoParametersShouldNotThrowNullPointerWhenLineIsEmpty()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerParameterTests.testNoParametersShouldNotThrowNullPointerWhenLineIsSlashSlash()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerParameterTests.testNoParametersShouldNotThrowNullPointerWhenLineStartsWithSlashSlash()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerParameterTests.testNoParametersShouldNotThrowNullPointerWhenNoInput()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerParameterTests.testNoParametersShouldNotThrowNullPointerWhenNoLinesOfInput()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerParameterTests.testNoParametersShouldNotThrowNullPointerWhenOneLineOfInput()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerParameterTests.testNoParametersShouldNotThrowNullPointerWhenTwoLinesOfInput()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerTest.setUp()",1,1,1
"org.apache.maven.plugins.shade.resource.ApacheNoticeResourceTransformerTest.testCanTransformResource()",1,1,1
"org.apache.maven.plugins.shade.resource.AppendingTransformer.canTransformResource(String)",2,2,3
"org.apache.maven.plugins.shade.resource.AppendingTransformer.hasTransformedResource()",1,1,1
"org.apache.maven.plugins.shade.resource.AppendingTransformer.modifyOutputStream(JarOutputStream)",1,1,1
"org.apache.maven.plugins.shade.resource.AppendingTransformer.processResource(String,InputStream,List<Relocator>)",1,1,1
"org.apache.maven.plugins.shade.resource.AppendingTransformerTest.setUp()",1,1,1
"org.apache.maven.plugins.shade.resource.AppendingTransformerTest.testCanTransformResource()",1,1,1
"org.apache.maven.plugins.shade.resource.ComponentsXmlResourceTransformer.canTransformResource(String)",1,1,1
"org.apache.maven.plugins.shade.resource.ComponentsXmlResourceTransformer.getRelocatedClass(String,List<Relocator>)",4,6,6
"org.apache.maven.plugins.shade.resource.ComponentsXmlResourceTransformer.getTransformedResource()",1,2,2
"org.apache.maven.plugins.shade.resource.ComponentsXmlResourceTransformer.getValue(Xpp3Dom,String)",1,3,3
"org.apache.maven.plugins.shade.resource.ComponentsXmlResourceTransformer.hasTransformedResource()",1,1,1
"org.apache.maven.plugins.shade.resource.ComponentsXmlResourceTransformer.modifyOutputStream(JarOutputStream)",1,1,1
"org.apache.maven.plugins.shade.resource.ComponentsXmlResourceTransformer.processResource(String,InputStream,List<Relocator>)",2,8,9
"org.apache.maven.plugins.shade.resource.ComponentsXmlResourceTransformer.setValue(Xpp3Dom,String,String)",2,3,4
