Complexity metrics,Sun, 31 Mar 2019 21:55:22 EDT
Method,ev(G),iv(G),v(G)
"org.apache.maven.doxia.module.apt.AptParserTest.testSpacesAndBracketsInAnchors()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testSpecialCharactersInTables()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testTableHeaders()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testTestDocument()",1,1,1
"org.apache.maven.doxia.module.apt.AptParserTest.testTocMacro()",1,1,1
"org.apache.maven.doxia.module.apt.AptReaderSource.AptReaderSource(Reader)",1,1,1
"org.apache.maven.doxia.module.apt.AptReaderSource.AptReaderSource(Reader,String)",1,1,1
"org.apache.maven.doxia.module.apt.AptReaderSource.close()",1,1,1
"org.apache.maven.doxia.module.apt.AptReaderSource.getLineNumber()",1,1,1
"org.apache.maven.doxia.module.apt.AptReaderSource.getName()",1,1,2
"org.apache.maven.doxia.module.apt.AptReaderSource.getNextLine()",2,3,4
"org.apache.maven.doxia.module.apt.AptSink.AptSink(Writer)",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.anchor(String)",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.anchor_()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.author_()",1,2,2
"org.apache.maven.doxia.module.apt.AptSink.bold()",1,2,2
"org.apache.maven.doxia.module.apt.AptSink.bold_()",1,2,2
"org.apache.maven.doxia.module.apt.AptSink.buildRowLine()",2,4,6
"org.apache.maven.doxia.module.apt.AptSink.close()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.comment(String)",1,1,2
"org.apache.maven.doxia.module.apt.AptSink.content(String)",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.date_()",1,2,2
"org.apache.maven.doxia.module.apt.AptSink.definedTerm()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.definedTerm_()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.definition()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.definitionList()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.definitionList_()",1,2,2
"org.apache.maven.doxia.module.apt.AptSink.definition_()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.endTableCell()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.escapeAPT(String)",3,3,5
"org.apache.maven.doxia.module.apt.AptSink.figureCaption_()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.figureGraphics(String)",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.flush()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.getBuffer()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.head()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.head_()",1,5,5
"org.apache.maven.doxia.module.apt.AptSink.horizontalRule()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.init()",1,1,1
"org.apache.maven.doxia.module.apt.AptSink.italic()",1,2,2
"org.apache.maven.doxia.module.apt.AptSink.italic_()",1,2,2
"org.apache.maven.doxia.module.apt.AptSink.lineBreak()",1,3,4
"org.apache.maven.doxia.module.apt.AptSink.link(String)",1,3,3
