Complexity metrics,Sun, 24 Mar 2019 23:05:11 EDT
Method,ev(G),v(G)
"org.apache.commons.configuration2.CombinedConfiguration.ConfigData.getRootNode()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.ConfigData.getRootNodeOfConfiguration()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.ConfigData.getTransformedRoot()",1,2
"org.apache.commons.configuration2.CombinedConfiguration.ConfigData.parseAt(String)",2,3
"org.apache.commons.configuration2.CombinedConfiguration.ConfigData.prependAtPath(ImmutableNode)",1,1
"org.apache.commons.configuration2.CombinedConfiguration.ConfigData.prependAtPathComponent(Builder,String,Iterator<String>,ImmutableNode)",1,2
"org.apache.commons.configuration2.CombinedConfiguration.addConfiguration(Configuration)",1,1
"org.apache.commons.configuration2.CombinedConfiguration.addConfiguration(Configuration,String)",1,1
"org.apache.commons.configuration2.CombinedConfiguration.addConfiguration(Configuration,String,String)",3,6
"org.apache.commons.configuration2.CombinedConfiguration.beginRead(boolean)",2,4
"org.apache.commons.configuration2.CombinedConfiguration.beginWrite(boolean)",2,4
"org.apache.commons.configuration2.CombinedConfiguration.clearInternal()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.clone()",1,2
"org.apache.commons.configuration2.CombinedConfiguration.constructCombinedNode()",2,5
"org.apache.commons.configuration2.CombinedConfiguration.findSourceConfigurations(ImmutableNode)",1,3
"org.apache.commons.configuration2.CombinedConfiguration.getConfiguration(String)",1,1
"org.apache.commons.configuration2.CombinedConfiguration.getConfiguration(int)",1,1
"org.apache.commons.configuration2.CombinedConfiguration.getConfigurationNameList()",1,2
"org.apache.commons.configuration2.CombinedConfiguration.getConfigurationNames()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.getConfigurations()",1,2
"org.apache.commons.configuration2.CombinedConfiguration.getConversionExpressionEngine()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.getNodeCombiner()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.getNumberOfConfigurations()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.getNumberOfConfigurationsInternal()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.getSource(String)",4,4
"org.apache.commons.configuration2.CombinedConfiguration.getSources(String)",1,3
"org.apache.commons.configuration2.CombinedConfiguration.initChildCollections()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.invalidate()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.invalidateInternal()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.isUpToDate()",1,1
"org.apache.commons.configuration2.CombinedConfiguration.onEvent(ConfigurationEvent)",1,2
