,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
98,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,NavigationParameterListInterceptor,8,0,0,0,2,0,2,0,2,0
99,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.config.view.navigation,NavigationCaseMapWrapper.DelegatingMap,75,0,10,0,16,0,8,0,3,0
100,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.resource,DeltaSpikeResourceHandler,55,0,10,0,12,0,8,0,3,0
101,Apache DeltaSpike JSF-Module Impl (EE6 only),org.apache.deltaspike.jsf.impl.resource,DeltaSpikeResource,56,0,0,0,16,0,10,0,10,0
102,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.spi.scope.window,ClientWindowConfig.ClientWindowRenderMode,54,0,0,0,6,0,1,0,1,0
103,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.spi.scope.window,DefaultClientWindowConfig,202,0,36,0,61,0,30,0,12,0
104,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.util,ValueExpressionEvaluationInputStream,33,215,9,27,6,49,7,15,0,4
105,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.util,NamingConventionUtils,92,0,18,0,20,0,11,0,2,0
106,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.literal,ViewLiteral,323,0,56,0,78,0,40,0,12,0
107,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.literal,FolderLiteral,111,0,24,0,32,0,18,0,6,0
108,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.AbstractNameBuilder,9,0,0,0,3,0,2,0,2,0
109,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.DefaultExtensionBuilder,19,0,4,0,6,0,4,0,2,0
110,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.DefaultBasePathBuilder,105,0,24,0,20,0,14,0,2,0
111,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.ViewParameterMode,34,0,0,0,2,0,1,0,1,0
112,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.DefaultFileNameBuilder,42,0,6,0,9,0,5,0,2,0
113,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,Folder.DefaultFolderNameBuilder,104,0,22,0,20,0,14,0,3,0
114,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.NavigationMode,34,0,0,0,2,0,1,0,1,0
115,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,View.ViewConfigPreProcessor,250,0,42,0,70,0,29,0,8,0
116,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.view,Folder.FolderConfigPreProcessor,86,0,12,0,28,0,10,0,4,0
117,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config,JsfModuleConfig,87,0,16,0,31,0,21,0,13,0
118,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.base,JsfBaseConfig.ScopeCustomization.WindowRestriction,25,0,0,0,11,0,1,0,1,0
119,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.base,JsfBaseConfig.ScopeCustomization.ViewDelegation,12,0,0,0,5,0,1,0,1,0
120,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.config.base,JsfBaseConfig.ViewConfigCustomization,33,0,0,0,13,0,1,0,1,0
121,Apache DeltaSpike JSF-Module API,org.apache.deltaspike.jsf.api.listener.phase,JsfPhaseId,136,0,12,0,25,0,10,0,4,0
122,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.produce,RequestResponseHolderListener,25,0,6,0,10,0,6,0,3,0
123,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.produce,ServletObjectProducer,64,0,6,0,17,0,11,0,8,0
124,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.produce,RequestResponseHolderFilter,27,0,4,0,12,0,6,0,4,0
125,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.produce,RequestResponseHolder,66,0,10,0,20,0,11,0,6,0
126,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.produce,ServletContextHolder,79,0,6,0,17,0,7,0,4,0
127,Apache DeltaSpike Servlet-Module Impl,org.apache.deltaspike.servlet.impl.produce,ServletContextHolderListener,9,0,0,0,5,0,3,0,3,0
