,GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
163,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,DefaultFutureableStrategy.new ThreadLocal() {...},4,3,0,0,1,1,1,1,1,1
164,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.future,FutureableInterceptor,0,8,0,0,0,2,0,2,0,2
165,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.interceptor.interdyn,InterDynExtension,238,39,37,3,48,11,22,3,2,3
166,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.interceptor.interdyn,AnnotationRule,21,0,0,0,8,0,4,0,4,0
167,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.exception.control,DefaultExceptionEvent,8,64,1,1,2,27,2,13,1,13
168,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.exception.control,ExceptionHandlerBroadcaster,49,293,9,33,9,74,8,21,0,3
169,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.exception.control,HandlerMethodStorageProducer,0,10,0,0,0,2,0,2,0,2
170,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.exception.control,HandlerMethodImpl,19,391,9,39,5,76,9,31,0,16
171,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.exception.control,ExceptionHandlerComparator,2,109,3,17,1,25,3,11,0,4
172,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.exception.control,HandlerMethodStorageImpl,52,125,7,21,8,22,5,12,1,2
173,Apache DeltaSpike Core-Implementation,org.apache.deltaspike.core.impl.exception.control,OutboundParameterValueRedefiner,0,41,1,3,0,12,1,3,0,2
